Track Name,Artist,Genres
Atlantis,Seafret,folk-pop
Porcelain,Moby,"downtempo, electronica"
Lonely,VisionV,stutter house
You Were Right,RÜFÜS DU SOL,"australian electropop, indietronica"
Where Are You Now,Lost Frequencies,"belgian edm, edm, pop dance, tropical house"
Get By,Still Woozy,"bedroom pop, oakland indie, pov: indie"
Arash,Arash,persian pop
Beggin',Chris Lake,"bass house, edm, electro house, house, melbourne bounce, pop dance, progressive house, tech house, uk dance"
World Hold On - FISHER Rework,Bob Sinclar,"disco house, filter house"
Glory Box,Portishead,"alternative rock, art pop, dark pop, electronica, laboratorio, trip hop"
Good News,Mac Miller,"hip hop, pittsburgh rap, rap"
Me Jalé Pal Antro,Fuerza Regida,"corrido, corridos tumbados, sad sierreno, sierreno"
MY EYES,Travis Scott,"rap, slap house"
Lights Down Low,MAX,"singer-songwriter pop, teen pop, viral pop"
"End Credits - ""Action That""",Nicholas Britell,"orchestral soundtrack, soundtrack"
Succession - Andante Risoluto,Nicholas Britell,"orchestral soundtrack, soundtrack"
Cooks,Still Woozy,"bedroom pop, oakland indie, pov: indie"
End of Beginning,Djo,"pov: indie, psychedelic pop"
Moth To A Flame (with The Weeknd),Swedish House Mafia,"edm, pop dance, progressive electro house"
Hold Me,Lavern,stutter house
I Wanna Be Yours,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie"
Need 2,Pinegrove,"countrygaze, new jersey indie, small room"
Will I See You Again?,Thee Sacred Souls,"latinx alternative, souldies"
At Last,Etta James,"jazz blues, soul, soul blues, torch song, vocal jazz"
Young Dumb & Broke,Khalid,"pop, pop r&b"
La Diabla,Xavi,sad sierreno
See You Again (feat. Kali Uchis),"Tyler, The Creator","hip hop, rap"
Glue x How Deep Is Your Love - Remake Cover,renewwed,Unknown
Glue,BICEP,"ambient house, electronica"
Tieduprightnow,Parcels,"aussietronica, indie soul"
Come Down,Anderson .Paak,"escape room, hip hop, indie soul, neo soul"
Never Be Like You (feat. Kai),Flume,"australian dance, australian electropop, australian indie, downtempo, edm, indietronica"
Somebody (2024),Gotye,australian pop
Strangers,Kenya Grace,singer-songwriter pop
Sage,Richy Mitch & The Coal Miners,modern folk rock
Forest Whitaker,Bad Books,indie rock
Outstanding,The Gap Band,"disco, funk, motown, quiet storm, soul"
MILLION DOLLAR BABY,Tommy Richman,chill abstract hip hop
Alive,Empire Of The Sun,"australian dance, australian electropop, dance rock, indietronica, neo-synthpop"
Gamesofluck,Parcels,"aussietronica, indie soul"
Still Dreaming,Nas,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap"
We Are The People,Empire Of The Sun,"australian dance, australian electropop, dance rock, indietronica, neo-synthpop"
Smalltown Boy,Bronski Beat,"hi-nrg, new romantic, new wave, new wave pop, sophisti-pop, synthpop"
Goth,Sidewalks and Skeletons,"wave, witch house"
Hate It Or Love It,The Game,"detroit hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Up All Night,Widespread Panic,"athens indie, jam band, southern rock"
Why,Dominic Fike,"alternative pop rock, pov: indie"
Sonnentanz - Sun Don't Shine,Klangkarussell,"austrian pop, deep euro house"
When I'm Small,Phantogram,"indietronica, metropopolis, neo-synthpop"
Paris City Jazz,Bellaire,jazz house
Walkin' On The Sun,Smash Mouth,"pop rock, post-grunge"
Somewhere Only We Know,Keane,"neo mellow, piano rock, pop rock"
Cowgirl in the Sand - 2009 Remaster,Neil Young,"canadian singer-songwriter, classic canadian rock, classic rock, folk rock, mellow gold, permanent wave, rock, roots rock, singer-songwriter"
Coastline,Hollow Coves,"indie anthem-folk, indie folk, modern indie folk"
Cumbia Espacial,Ondatrópica,"chicha, folclor afrocolombiano, latin afrobeat, nu-cumbia"
Sultans of Swing,Dire Straits,"album rock, classic rock, mellow gold, rock"
Social Cues,Cage The Elephant,"modern alternative rock, modern rock, pov: indie, punk blues, rock"
Let Go,Aaron May,conscious hip hop
Evil,Stevie Wonder,"motown, soul"
Lithonia,Childish Gambino,"atl hip hop, hip hop, rap"
In This Shirt,The Irrepressibles,baroque pop
It's My Life,Dr. Alban,"eurodance, europop, hip house"
Don't Start Now,Dua Lipa,"dance pop, pop, uk pop"
Hope,XXXTENTACION,"emo rap, miami hip hop, rap"
Hope - Instrumental,XXXTENTACION,"emo rap, miami hip hop, rap"
Free Bird,Lynyrd Skynyrd,"album rock, classic rock, hard rock, rock, southern rock"
On My Knees,RÜFÜS DU SOL,"australian electropop, indietronica"
You've Done Enough,Gorgon City,"future garage, house, pop dance, uk dance"
Sonnentanz - Sun Don't Shine,Klangkarussell,"austrian pop, deep euro house"
Big Jet Plane,Restricted,hypertechno
Because You Move Me,Tinlicker,melodic house
