Track Name,Artist,Genres
Can I Call You Tonight?,Dayglow,"austindie, indie rock, pov: indie"
Hot Rod,Dayglow,"austindie, indie rock, pov: indie"
Only Human,Jonas Brothers,"boy band, pop"
"Gettin' By, High and Strange",Kris Kristofferson,"country, country rock, outlaw country, singer-songwriter"
Luckiest Man,The Wood Brothers,"jam band, modern blues, new americana, progressive bluegrass, roots rock, stomp and holler"
Can't You See,The Marshall Tucker Band,"album rock, classic rock, country rock, mellow gold, singer-songwriter, soft rock, southern rock"
Slow Cheetah,Red Hot Chili Peppers,"alternative rock, funk metal, funk rock, permanent wave, rock"
Laundry Room,The Avett Brothers,"indie folk, new americana, north carolina indie, north carolina roots, progressive bluegrass, stomp and holler"
Cherry Flavoured,The Neighbourhood,"modern alternative rock, modern rock, pop"
Green Onions,Booker T. & the M.G.'s,"blues, classic soul, instrumental funk, instrumental soul, memphis soul, soul, southern soul, traditional blues"
Honeypie,JAWNY,"bedroom pop, pov: indie"
Let's Groove,"Earth, Wind & Fire","disco, funk, jazz funk, motown, soul"
Don't Stop 'Til You Get Enough,Michael Jackson,"r&b, soul"
Ho Hey,The Lumineers,"folk-pop, modern rock, neo mellow, stomp and holler"
Island In The Sun,Weezer,"alternative rock, modern power pop, modern rock, permanent wave, rock"
MIDDLE CHILD,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
Undercover Martyn,Two Door Cinema Club,"indie rock, indietronica, irish rock, modern alternative rock, modern rock, northern irish indie"
Violent Crimes,Kanye West,"chicago rap, hip hop, rap"
She Knows (feat. Amber Coffman & Cults),J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
forever&more,ROLE MODEL,"alt z, bedroom pop, pov: indie"
Pink + White,Frank Ocean,"lgbtq+ hip hop, neo soul"
Praise God,Kanye West,"chicago rap, hip hop, rap"
Moon,Kanye West,"chicago rap, hip hop, rap"
hello!,ROLE MODEL,"alt z, bedroom pop, pov: indie"
say it first,ROLE MODEL,"alt z, bedroom pop, pov: indie"
Mando Calrissian,CZARFACE,alternative hip hop
Tangerine,Glass Animals,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
Domestic Bliss,Glass Animals,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
Helium,Glass Animals,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
I Don't Wanna Talk (I Just Wanna Dance),Glass Animals,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
play the part,ROLE MODEL,"alt z, bedroom pop, pov: indie"
Yesterday - Remastered 2009,The Beatles,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
I Want To Hold Your Hand - Remastered 2015,The Beatles,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
Like I Can,Sam Smith,"pop, uk pop"
Dissolve Me,alt-J,"indie rock, indietronica, modern alternative rock, modern rock, rock"
Safe And Sound,Capital Cities,"metropopolis, modern rock"
Slide (feat. Frank Ocean & Migos),Calvin Harris,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Thank You,Dido,"dance pop, europop, lilith, neo mellow, pop rock"
Ophelia,The Lumineers,"folk-pop, modern rock, neo mellow, stomp and holler"
Flowers in Your Hair,The Lumineers,"folk-pop, modern rock, neo mellow, stomp and holler"
Left Hand Free,alt-J,"indie rock, indietronica, modern alternative rock, modern rock, rock"
Age Ye Rooz,Faramarz Aslani,classic persian pop
High Enough,K.Flay,"escape room, hip pop, modern alternative rock"
Girl from the North Country,Bob Dylan,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter"
November 18th,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
The 90s,FINNEAS,"alt z, la indie, pop, pov: indie"
West Coast Love,Emotional Oranges,indie r&b
notice me - acoustic,ROLE MODEL,"alt z, bedroom pop, pov: indie"
You Are the Right One,Sports,tulsa indie
Oh! Sweet Nuthin' - 2015 Remaster,The Velvet Underground,"alternative rock, melancholia, permanent wave, protopunk, rock"
Drugs,M.A.G.S.,buffalo ny indie
One Day,Matisyahu,reggae fusion
Taro,alt-J,"indie rock, indietronica, modern alternative rock, modern rock, rock"
The Adults Are Talking,The Strokes,"alternative rock, garage rock, modern rock, permanent wave, rock"
Tessellate,alt-J,"indie rock, indietronica, modern alternative rock, modern rock, rock"
Then Came the Last Days of May,Blue Öyster Cult,"album rock, classic rock, glam metal, hard rock, progressive rock, rock"
Tangerine - Remaster,Led Zeppelin,"album rock, classic rock, hard rock, rock"
Time,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
Lonesome Town,Ricky Nelson,"adult standards, doo-wop, rock-and-roll, rockabilly"
Looking Out for You,Joy Again,pov: indie
Choking on Flowers,Fox Academy,"indie garage rock, lo-fi indie"
Stubborn Love,The Lumineers,"folk-pop, modern rock, neo mellow, stomp and holler"
High Tops,Del Water Gap,"deep new americana, indie pop, pov: indie"
Nothing,Bruno Major,singer-songwriter pop
Notion,The Rare Occasions,la indie
Awaken,Big Wild,vapor soul
Someone Like You,Adele,"british soul, pop, pop soul, uk pop"
La vie en rose - Single Version,Louis Armstrong,"adult standards, dixieland, harlem renaissance, jazz trumpet, lounge, new orleans jazz, soul, swing, vocal jazz"
Fragile,Kygo,"edm, pop, pop dance, tropical house"
Sol Del Sur,Sun Room,Unknown
Instant Crush (feat. Julian Casablancas),Daft Punk,"electro, filter house, rock"
The Way I Are,Timbaland,"dance pop, pop, pop rap"
Happier Than Ever,Billie Eilish,"art pop, pop"
Gymnopédie No. 1,Erik Satie,"classical, early avant garde, early modern classical, impressionism, post-romantic era"
The Way You'd Love Her,Mac DeMarco,"edmonton indie, lo-fi indie, pov: indie, slacker rock"
Ivy,Frank Ocean,"lgbtq+ hip hop, neo soul"
Lost,Frank Ocean,"lgbtq+ hip hop, neo soul"
I Love You So,The Walters,"chicago indie, pov: indie"
Shut up My Moms Calling,Hotel Ugly,modern indie pop
This Song Is Not About A Girl,Flume,"australian dance, australian electropop, australian indie, downtempo, edm, indietronica"
Cancun Sega - luxuriøus Remix,ScrewStache,Unknown
Where'd All the Time Go?,Dr. Dog,"chamber pop, indie rock, modern folk rock, philly indie, pov: indie, seattle indie, stomp and holler"
Rock with You - Single Version,Michael Jackson,"r&b, soul"
Stolen Dance,Milky Chance,"german pop, modern rock"
Flashed Junk Mind,Milky Chance,"german pop, modern rock"
Mind Over Matter (Reprise),Young the Giant,"indietronica, modern alternative rock, modern rock, pov: indie, stomp and holler"
The Way You'd Love Her,Mac DeMarco,"edmonton indie, lo-fi indie, pov: indie, slacker rock"
Photograph,Ed Sheeran,"pop, singer-songwriter pop, uk pop"
You Know How We Do It,Ice Cube,"conscious hip hop, g funk, gangster rap, hip hop, rap, west coast rap"
Mind Over Matter,Young the Giant,"indietronica, modern alternative rock, modern rock, pov: indie, stomp and holler"
Total Eclipse of the Heart,Bonnie Tyler,"europop, new wave pop, soft rock"
Dancin - Deep House Remix,Eduardo Luzquiños,Unknown
Happy Endings,Faul,saxophone house
Something About You,Eyedress,"noise pop, pov: indie"
Freaking Out the Neighborhood,Mac DeMarco,"edmonton indie, lo-fi indie, pov: indie, slacker rock"
I See Fire,Ed Sheeran,"pop, singer-songwriter pop, uk pop"
Riders on the Storm,The Doors,"acid rock, album rock, classic rock, hard rock, psychedelic rock, rock"
Crazy,Gnarls Barkley,"atl hip hop, neo soul"
Smoke Two Joints,Sublime,"rap rock, reggae fusion, ska mexicano, ska punk"
Song 2 - 2012 Remaster,Blur,"alternative rock, britpop, madchester, permanent wave, rock"
Pool,Still Woozy,"bedroom pop, oakland indie, pov: indie"
INTERLUDE,Lord Nobel,Unknown
Stars Will Fall,Duster,"corecore, dream pop, pov: indie, slowcore"
Hot Blooded,New Constellations,Unknown
Ode To The Mets,The Strokes,"alternative rock, garage rock, modern rock, permanent wave, rock"
Take It Easy - 2013 Remaster,Eagles,"album rock, classic rock, heartland rock, mellow gold, rock, soft rock, yacht rock"
The Gambler,Kenny Rogers,"classic country pop, country, nashville sound, soft rock"
Kids,MGMT,"alternative rock, indie rock, indietronica, modern rock, rock"
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix,Crystal Waters,diva house
Electric Feel,MGMT,"alternative rock, indie rock, indietronica, modern rock, rock"
WASTE,KXLLSWXTCH,"dark trap, oc rap, scream rap"
"Main Title (from ""Taxi Driver"")",Bernard Herrmann,classic soundtrack
You Are My Sunshine,Johnny Cash,"arkansas country, outlaw country, rock"
rx,ROLE MODEL,"alt z, bedroom pop, pov: indie"
Your Love,The Outfield,power pop
Where's My Love,SYML,modern indie pop
Home,Edith Whiskers,Unknown
life is funny,ROLE MODEL,"alt z, bedroom pop, pov: indie"
stripclub music,ROLE MODEL,"alt z, bedroom pop, pov: indie"
Casita,Goth Babe,"indie rock, pov: indie"
Under Cover of Darkness,The Strokes,"alternative rock, garage rock, modern rock, permanent wave, rock"
Brooklyn Bridge To Chorus,The Strokes,"alternative rock, garage rock, modern rock, permanent wave, rock"
Paris,Magic Man,"hopebeat, indie poptimism, shimmer pop"
Brazil,Declan McKenna,pov: indie
Until I Found You,Stephen Sanchez,gen z singer-songwriter
On & On,Cartoon,gaming edm
Vibrations,070 Shake,new jersey rap
MANGO (feat. Adi Oasis),KAMAUU,downtempo bass
Save Your Tears,The Weeknd,"canadian contemporary r&b, canadian pop, pop"
Massive,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Kilby Girl,The Backseat Lovers,"pov: indie, slc indie"
Dear To Me,Electric Guest,"indietronica, la indie, shimmer pop"
Solitude,M83,"french shoegaze, french synthpop, indietronica, metropopolis, neo-synthpop"
Solitude - Felsmann + Tiley Reinterpretation,M83,"french shoegaze, french synthpop, indietronica, metropopolis, neo-synthpop"
Massive,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
All I Want,Kodaline,"irish pop, modern rock, neo mellow"
Ava,Famy,Unknown
The Mission,Bakar,uk alternative hip hop
Take Me Where Your Heart Is,Q,"alternative r&b, indie r&b"
Song on the Beach,Arcade Fire,"alternative rock, baroque pop, canadian indie, canadian indie rock, chamber pop, indie rock, indietronica, modern rock, permanent wave, quebec indie, rock"
Behind The Sun,ODESZA,"chillwave, edm, indietronica"
Analie,Stolen Gin,Unknown
Chateau (Feel Alright),Djo,"pov: indie, psychedelic pop"
Sweet Disposition,The Temper Trap,"indietronica, modern rock, shimmer pop"
sdp interlude,Travis Scott,"rap, slap house"
NDA,Billie Eilish,"art pop, pop"
The Prayer,Kid Cudi,"hip hop, ohio hip hop, pop rap, rap"
Chan Chan,Buena Vista Social Club,"latin jazz, musica tradicional cubana, world"
X,Nicky Jam,"latin hip hop, reggaeton, trap latino, urbano latino"
Cry,Cigarettes After Sex,"ambient pop, dream pop, el paso indie, shoegaze"
Girl (feat. KAYTRANADA),The Internet,"alternative r&b, lgbtq+ hip hop"
All The Stars (with SZA),Kendrick Lamar,"conscious hip hop, hip hop, rap, west coast rap"
The Beach,The Neighbourhood,"modern alternative rock, modern rock, pop"
Saghi,Hayedeh,"classic persian pop, musiqi-ye zanan"
PERSIAN RUGS,PARTYNEXTDOOR,"r&b, rap, urban contemporary"
Running Away,VANO 3000,Unknown
I Wonder,Kanye West,"chicago rap, hip hop, rap"
Jimmy Cooks (feat. 21 Savage),Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Music Sounds Better With You,Stardust,filter house
La La La,LMFAO,"dance pop, pop, pop rap"
Righteous,Mo Beats,Unknown
